Title,Artists,Danceability,Energy,Loudness_fixed,Speechiness,Acousticness,Instrumentalness,Valence,Song URL,Cluster
Ghost,Justin Bieber,0.601,0.741,-5.569,0.048,0.185,0.0,0.441,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,4
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",0.633,0.927,-4.468,0.084,0.027,0.0,0.88,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt,0
Cartão Black,"MC Caverinha, KayBlack, Wall Hein",0.842,0.468,-8.572,0.637,0.255,0.0,0.547,https://open.spotify.com/track/12YCtLHGk6tP6RbHDHflCs,1
Apocalypse,Cigarettes After Sex,0.369,0.467,-9.018,0.027,0.019,0.46,0.174,https://open.spotify.com/track/3AVrVz5rK8Hrqo9YGiVGN5,4
Tití Me Preguntó,Bad Bunny,0.65,0.715,-5.198,0.253,0.099,0.0,0.187,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,4
Normal,Feid,0.709,0.56,-4.867,0.171,0.034,0.0,0.541,https://open.spotify.com/track/0T2pB7P1VdXPhLdQZ488uH,3
Midnight Rain,Taylor Swift,0.643,0.363,-11.738,0.077,0.69,0.0,0.23,https://open.spotify.com/track/3rWDp9tBPQR9z6U5YyRSK4,2
CUFF IT,Beyoncé,0.78,0.689,-5.668,0.141,0.037,0.0,0.642,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS,0
Nosso Quadro,"AgroPlay, Ana Castela",0.691,0.708,-4.821,0.195,0.338,0.0,0.602,https://open.spotify.com/track/4uqJelb9THHmJ3OCohg4ZJ,0
Counting Stars,OneRepublic,0.664,0.705,-4.972,0.038,0.065,0.0,0.477,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,4
Rich Flex,"Drake, 21 Savage",0.561,0.52,-9.342,0.244,0.05,0.0,0.424,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N,1
Dog Days Are Over,Florence + The Machine,0.501,0.809,-5.264,0.094,0.034,0.006,0.258,https://open.spotify.com/track/456WNXWhDwYOSf5SpTuqxd,4
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",0.684,0.671,-4.392,0.046,0.189,0.0,0.156,https://open.spotify.com/track/2Hh3ETdQKrmSI3QS0hme7g,4
69,"Nicky Jam, Feid",0.785,0.617,-4.202,0.234,0.109,0.0,0.58,https://open.spotify.com/track/13Z5Q40pa1Ly7aQk1oW8Ce,1
Until I Found You,Stephen Sanchez,0.346,0.5,-6.097,0.039,0.757,0.0,0.191,https://open.spotify.com/track/6VhuP99TE6gYNQRJIlAWFD,2
Novo Balanço,"Veigh, Bvga Beatz, Prod Malax, Supernova Ent",0.836,0.499,-0.00582,0.056,0.669,0.0,0.65,https://open.spotify.com/track/4hKLzFvNwHF6dPosGT30ed,0
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beéle",0.817,0.851,-3.309,0.063,0.035,0.0,0.886,https://open.spotify.com/track/1MB8kTH7VKvAMfL9SHgJmG,0
Las Morras,"Peso Pluma, Blessd",0.777,0.841,-4.641,0.041,0.312,0.0,0.901,https://open.spotify.com/track/7Lkxvfl2rkNYWS4kBDCQtN,0
Just Wanna Rock,Lil Uzi Vert,0.486,0.545,-7.924,0.034,0.065,0.005,0.039,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d,4
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",0.526,0.606,-0.0053,0.259,0.152,0.0,0.492,https://open.spotify.com/track/0vjeOZ3Ft5jvAi9SBFJm1j,4
Komang,Raim Laode,0.696,0.412,-8.547,0.027,0.415,0.0,0.349,https://open.spotify.com/track/2AaaE0qvFWtyT8srKNfRhH,3
ceilings,Lizzy McAlpine,0.516,0.322,-11.762,0.029,0.473,0.002,0.261,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI,2
Niña Bonita,"Feid, Sean Paul",0.823,0.615,-0.00419,0.147,0.104,0.0,0.47,https://open.spotify.com/track/3Gs7mVfWKl567mjozgxmXv,0
Easy On Me,Adele,0.604,0.366,-7.519,0.028,0.578,0.0,0.13,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,2
Glimpse of Us,Joji,0.44,0.317,-9.258,0.053,0.891,0.0,0.268,https://open.spotify.com/track/4ewazQLXFTDC8XvCbhvtXs,2
Ch y la Pizza,"Fuerza Regida, Natanael Cano",0.628,0.668,-2.722,0.117,0.329,0.0,0.845,https://open.spotify.com/track/0UbesRsX2TtiCeamOIVEkp,0
